ID,Parking,Phone,Description,Renovation_type,Balcony,Windows,WC,Chld_pets_allowed,Lift,Refuse_chute,City,Price_per_month,Res_complex_name,Total_sqr_mtr,Rooms_qty,Room_type,Station,Line,AdmArea,District,Floor,N_of_floor,Bld_type,Furniture_rooms,Furniture_kitchen,Street,Bld.,Time_to_subway,Accessibility,price_per_m,Ceiling_height
274684948,3,1,1,4,1,1,1,2,1,0,1,10.308985993422082,170,3.676300671907076,1,0,2,24,11,0,15,17,6,1,1,280,818,10,2,6.659576929915514,2.64
257787405,0,1,1,4,0,1,1,2,0,1,1,10.373522431293592,170,3.4657359027997265,1,0,2,24,11,0,1,5,3,1,1,280,1640,17,2,6.9404722583612655,2.64
274991139,0,1,1,4,1,1,1,2,0,0,1,10.404293143019792,170,3.6109179126442243,1,0,2,24,11,0,4,5,3,0,1,1081,1199,3,2,6.821834216474498,2.64
272657760,0,1,1,4,1,1,1,1,1,0,1,10.463131911491967,170,3.6888794541139363,1,0,2,24,11,0,16,17,6,1,1,280,692,14,2,6.800655359700657,2.64
274896148,0,1,1,4,1,0,0,2,1,1,1,10.463131911491967,170,3.713572066704308,1,0,2,24,11,0,4,12,6,1,1,280,690,10,2,6.775366090936392,2.64
274931415,3,1,1,4,1,1,1,1,1,0,1,10.463131911491967,170,3.828641396489095,1,0,2,24,11,0,4,8,7,1,1,844,1419,3,2,6.657725739164105,3.0
274820164,3,1,1,4,1,1,1,0,1,0,1,10.463131911491967,170,3.58351893845611,1,0,2,24,11,0,8,14,0,1,1,1393,1151,14,2,6.90875477931522,2.64
270131233,3,1,1,4,0,1,1,1,0,1,1,10.491301994830229,170,3.4339872044851463,1,0,2,24,11,0,1,5,3,1,1,1349,431,16,2,7.0909098220799835,2.6
274955309,3,1,1,4,1,1,1,1,0,1,1,10.545367754151743,170,3.828641396489095,2,3,2,24,11,0,4,5,0,1,1,1674,1662,10,2,6.739862458840303,2.64
274915956,0,1,1,4,1,0,1,0,0,1,1,10.545367754151743,170,3.6109179126442243,1,0,2,24,11,0,3,5,6,1,1,1349,242,12,2,6.962769420203225,2.64
259747965,0,1,1,4,1,1,1,1,1,0,1,10.545367754151743,170,3.6635616461296463,1,0,2,24,11,0,4,14,6,1,1,1434,701,10,2,6.90875477931522,2.64
274810200,0,1,1,1,1,1,1,2,1,1,1,10.571342565808699,170,3.713572066704308,1,0,2,24,11,0,1,14,6,1,0,1349,1882,11,2,6.883462586413092,2.6
245656717,3,1,1,4,1,1,1,2,1,0,1,10.596659732783579,170,3.6888794541139363,1,0,2,24,11,0,3,14,6,1,1,734,712,10,2,6.934047611962654,2.64
274565268,0,1,1,4,0,1,1,1,0,0,1,10.596659732783579,170,3.58351893845611,1,0,2,24,11,0,1,5,3,1,1,1222,577,2,2,7.04216128901732,2.64
253215671,3,1,1,4,1,1,1,2,0,1,1,10.62135173563291,170,3.9318256327243257,2,1,2,24,11,0,3,5,0,1,1,1694,1785,8,2,6.710523109452428,2.95
274685216,0,1,1,4,1,1,1,1,1,0,1,10.645448706505872,170,3.784189633918261,2,1,2,24,11,0,6,12,0,1,1,280,576,13,2,6.885248067360222,2.64
272099692,0,1,1,4,1,1,1,1,1,0,1,10.645448706505872,170,3.7612001156935624,2,1,2,24,11,0,6,9,3,1,1,1420,242,10,2,6.90875477931522,2.64
273439646,3,1,1,4,1,1,1,2,0,1,1,10.645448706505872,170,3.7612001156935624,2,3,98,56,12,13,4,5,3,1,1,280,1640,13,2,6.90875477931522,2.64
273824881,3,1,1,4,0,1,1,2,1,0,1,10.645448706505872,170,3.6635616461296463,1,0,2,24,11,0,2,17,6,1,1,1694,178,14,2,7.00874309039354,2.64
274091194,3,1,1,4,1,1,1,0,1,0,1,10.668978650219241,170,3.6635616461296463,1,0,2,24,11,0,4,14,6,1,1,1349,314,15,2,7.032252565628104,2.64
